vx,vy,vz,rmse_xy,rmse_threshold
0,0,0,0.007954879,0.05
0,0,0,0.009957089,0.05
0,0,0,0.013150705,0.05
0,0,0,0.014558583,0.05
0,0,0,0.011307998,0.05
0,0,0,0.011867563,0.05
0,0,0,0.016580486,0.05
0,0,0,0.018757742,0.05
0,0,0,0.0119868,0.05
0,0,0,0.017410898,0.05
0,0,0,0.015693752,0.05
0,0,0,0.01552848,0.05
0,0,0,0.013257318,0.05
0,0,0,0.009815504,0.05
0,0,0,0.012012662,0.05
0,0,0,0.017487234,0.05
0,0,0,0.010359612,0.05
0,0,0,0.014037061,0.05
0,0,0,0.013472712,0.05
0,0,0,0.012379782,0.05
0,0,0,0.013503879,0.05
0,0,0,0.015866853,0.05
0,0,0,0.015171558,0.05
0,0,0,0.012030126,0.05
0,0,0,0.012491425,0.05
0,0,0,0.011301204,0.05
0,0,0,0.017062946,0.05
0,0,0,0.01288241,0.05
0,0,0,0.008093803,0.05
0,0,0,0.013000054,0.05
0,0,0,0.013511571,0.05
0,0,0,0.012998691,0.05
0,0,0,0.012367667,0.05
0,0,0,0.011761461,0.05
0,0,0,0.011854354,0.05
0,0,0,0.006362245,0.05
0,0,0,0.012083476,0.05
0,0,0,0.009341546,0.05
0,0,0,0.008799065,0.05
0,0,0,0.011464082,0.05
0,0,0,0.017166588,0.05
0,0,0,0.013438302,0.05
0,0,0,0.011912739,0.05
0,0,0,0.01374399,0.05
0,0,0,0.009749386,0.05
0,0,0,0.011779635,0.05
0,0,0,0.012576698,0.05
0,0,0,0.014066569,0.05
0,0,0,0.016573292,0.05
0,0,0,0.015904448,0.05
0,0,0,0.013319087,0.05
0,0,0,0.014454988,0.05
0,0,0,0.011883588,0.05
0,0,0,0.012566574,0.05
0,0,0,0.014203052,0.05
0,0,0,0.013678176,0.05
0,0,0,0.013540645,0.05
0,0,0,0.011146255,0.05
0,0,0,0.013320729,0.05
0,0,0,0.015158805,0.05
0,0,0,0.014727313,0.05
0,0,0,0.009396093,0.05
0,0,0,0.010351468,0.05
0,0,0,0.015217989,0.05
0,0,0,0.009376749,0.05
0,0,0,0.008854059,0.05
0,0,0,0.012851327,0.05
0,0,0,0.016878818,0.05
0,0,0,0.011736078,0.05
0,0,0,0.013061354,0.05
0,0,0,0.011674948,0.05
0,0,0,0.014866557,0.05
0,0,0,0.011368555,0.05
0,0,0,0.01275731,0.05
0,0,0,0.011302579,0.05
0,0,0,0.008091806,0.05
0,0,0,0.017690392,0.05
0,0,0,0.015002484,0.05
0,0,0,0.007222004,0.05
0,0,0,0.010258629,0.05
0,0,0,0.014144304,0.05
0,0,0,0.008868036,0.05
0,0,0,0.01002647,0.05
0,0,0,0.011385502,0.05
0,0,0,0.01524864,0.05
0,0,0,0.010567191,0.05
0,0,0,0.009600616,0.05
0,0,0,0.012193462,0.05
0,0,0,0.011050485,0.05
0,0,0,0.013448347,0.05
0,0,0,0.009774179,0.05
0,0,0,0.011416599,0.05
0,0,0,0.015877653,0.05
0,0,0,0.009343957,0.05
